word;Translation;Asso;F;Asso;F;Asso;F;total;t=x;T>1;T
aubergine;zucchini;groente;42;paars;27;eten;18;270;18;32;83
augurken;gherkins;groen;50;zuur;31;bokaal;11;267;7;32;93
australië;Australia;kangoeroe;48;warm;17;ver;13;270;3;37;103
auto;car;rijden;22;stuur;14;rijbewijs;12;270;7;41;113
autosnelweg;highway;auto;34;file;24;autos;21;267;3;35;98
baard;beard;man;28;haar;18;scheren;17;264;7;32;113
baas;boss;werk;29;streng;19;chef;16;270;5;37;122
baby;baby;klein;37;schattig;17;wenen;14;270;2;34;89
bad;bath;water;50;warm;20;schuim;20;273;0;30;79
badkamer;bathroom;bad;50;douche;41;wassen;33;267;3;22;48
badminton;badminton;pluimpje;48;net;39;racket;28;267;3;19;61
bagel;bagel;eten;9;brood;9;zoet;8;246;102;24;71
bakken;to bake;brood;26;pan;18;oven;17;246;2;25;68
bakker;baker;brood;78;taart;20;warm;12;270;5;33;78
bal;ball;voetbal;46;rond;39;spelen;17;270;4;30;85
balkon;balcony;terras;25;appartement;14;hoog;12;249;5;36;105
ballen;balls;voetbal;37;sport;27;rond;14;267;9;39;102
ballet;ballet;tutu;43;roze;29;dans;20;267;5;28;98
balletje;(small) ball;pingpong;38;tennis;22;rond;19;270;8;29;85
ballon;balloon;lucht;43;kind;14;rood;14;270;1;29;89
bambi;Bambi;hert;38;tekenfilm;24;disney;24;267;9;29;81
bamboe;bamboo;panda;43;stok;13;tuin;13;246;11;25;83
banaan;banana;geel;59;krom;41;fruit;28;270;2;22;83
band;tire;auto;40;fiets;29;muziek;18;246;2;26;97
banjo;banjo;muziek;59;gitaar;33;jo;21;267;9;20;90
bank;bench;geld;78;zitten;43;park;29;303;1;28;106
bar;bar;drank;37;drinken;19;cafe;18;306;0;36;126
barbecue;barbecue;vlees;69;zomer;44;warm;16;366;3;36;104
basebalbat;baseballbat;sport;28;amerika;20;pet;10;246;10;36;98
baseball;baseball;amerika;35;sport;31;knuppel;17;267;2;27;98
basgitaar;bass (guitar);muziek;54;snaren;12;rock;11;270;8;38;118
basketbal;basketball;sport;23;ring;22;oranje;20;267;2;34;109
bat;bat;honkbal;24;vleermuis;22;baseball;18;258;41;27;77
bazooka;bazooka;oorlog;44;geweer;19;wapen;18;282;26;32;97
bed;bed;slapen;71;kussen;26;warm;13;267;3;32;71
beeld;statue;tv;26;kunst;24;foto;16;261;4;37;123
been;leg;voet;22;hond;20;lopen;14;246;3;31;99
beer;bear;bruin;43;gevaarlijk;20;knuffel;16;306;1;36;109
beha;bra;borsten;43;vrouw;23;kant;16;270;5;34;91
beitel;chisel;hamer;44;werken;14;steen;13;270;6;36;110
bek;snout / beak;vogel;61;mond;26;snavel;24;267;10;24;73
beker;mug;drinken;36;voetbal;14;melk;11;246;1;33;94
bel;bell;deur;43;telefoon;21;school;19;270;4;30;91
belletjes;(small) bells;kerstmis;18;rinkelen;16;zeep;14;270;8;35;131
benen;legs;lopen;32;lang;17;haar;13;246;2;38;86
benzine;gasoline;auto;69;duur;34;tanken;11;282;0;30;84
berg;mountain;sneeuw;60;hoog;44;klimmen;23;420;1;51;136
beroep;profession;werken;29;werk;25;geld;23;303;3;35;153
bescherming;protection;politie;16;veilig;11;veiligheid;11;246;2;36;124
beschuit;rusk;droog;26;muisjes;16;ontbijt;15;258;1;39;105
bestek;cutlery;vork;70;mes;61;lepel;46;267;5;11;38
bever;beaver;tanden;26;water;25;dier;24;270;6;28;83
bezem;broom;heks;74;vegen;33;steel;22;300;4;25;76
biet;beet;rood;40;suiker;30;boer;26;270;8;28;79
bij;bee;honing;44;steek;18;steken;13;270;6;32;93
bijl;axe;hout;40;boom;20;hakken;17;267;6;31;94
bikini;bikini;strand;53;zomer;28;zon;20;270;2;28;73
biljarten;billiards;keu;38;ballen;31;cafe;22;270;1;28;83
biscuit;biscuit;taart;19;koek;16;koekje;14;249;2;39;108
bitter;bitter;zoet;29;smaak;21;citroen;18;267;24;25;81
bizon;bison;dier;20;indiaan;18;bruin;14;270;4;40;111
blad;leaf;boom;58;papier;48;schrijven;21;270;2;23;66
blaffen;to bark;hond;79;lawaai;13;bijten;12;246;4;29;94
blaten;to bleat;schaap;57;wei;14;geluid;11;249;38;27;67
blauw;blue;lucht;50;zee;33;water;29;267;5;24;84
blazen;to blow;wind;29;warm;17;ballon;16;267;5;32;116
blik;tin;cola;22;ogen;20;conserven;15;270;6;41;113
blikopener;can opener;blik;35;eten;14;keuken;13;270;8;38;110
bliksem;lightning;donder;52;onweer;40;regen;19;291;0;27;73
bloed;blood;rood;54;pijn;23;wonde;13;270;6;30;96
bloedzuiger;leech;bloed;24;pijn;17;vies;16;270;5;40;105
bloem;flower;roos;26;geur;14;tuin;12;246;2;45;90
bloemkool;cauliflower;wit;40;groente;26;wittesaus;12;267;4;31;97
bloes;blouse;knopen;17;trui;12;wit;12;267;8;48;124
blok;block / brick;hout;30;been;16;studeren;15;267;4;35;109
blokfluit;recorder;muziek;57;hout;23;school;13;246;2;31;87
boa;boa;slang;78;sjaal;24;constrictor;23;270;8;23;94
boek;book;lezen;80;papier;14;bibliotheek;13;363;0;42;132
boeken;books;lezen;53;bibliotheek;19;papier;11;270;8;31;105
boekenrek;bookcase;boeken;36;lezen;25;bibliotheek;23;246;3;25;112
boekhouder;accountant;saai;40;geld;21;economie;18;267;4;29;105
boer;farmer;boerderij;27;koe;22;tractor;15;270;1;36;108
boerderij;farm;boer;33;koe;29;dieren;21;267;2;33;80
boete;fine;politie;62;geld;46;auto;16;270;2;25;83
bok;billy goat;geit;51;turnen;27;dier;23;270;9;28;90
bokaal;bowl;vis;55;water;35;glas;25;267;2;25;85
boks;box;handschoen;29;ring;24;pijn;14;246;5;33;96
boksbeugel;knuckle dusters;pijn;17;tanden;14;vechten;14;279;7;35;134
boksen;boxing;pijn;25;ring;20;handschoen;16;267;3;40;99
bom;bomb;oorlog;21;ontploffing;14;explosie;12;282;1;48;131
bonen;beans;groen;40;eten;14;tomatensaus;14;270;2;35;108
boog;bow;pijl;78;schieten;17;indiaan;13;279;2;33;105
boom;tree;blad;27;groen;27;bladeren;20;270;1;32;92
boor;drill;gat;29;muur;25;lawaai;20;267;6;32;105
boormachine;drill;lawaai;39;muur;15;werken;13;267;7;38;104
boot;boat;water;48;zee;38;varen;19;270;5;28;88
bord;plate;eten;64;krijt;23;vork;18;270;4;27;55
borstel;brush;haar;45;vegen;21;kuisen;15;255;2;32;91
borsten;breasts;vrouw;48;bh;30;seks;13;270;6;31;90
borstkast;chest;ribben;19;man;15;hart;15;246;10;32;83
bos;forest;bomen;40;groen;38;boom;29;270;4;33;87
bosbes;blueberry;bos;26;rood;25;confituur;16;267;7;33;78
bot;bone;been;36;hond;30;skelet;14;246;7;29;97
boter;butter;vet;19;brood;18;boterham;17;246;0;29;75
boterham;sandwich;choco;55;kaas;28;ontbijt;16;267;2;25;73
bouwen;to build;huis;76;steen;16;baksteen;12;270;4;35;91
braambessen;blackberries;bos;33;rood;23;lekker;21;270;5;32;85
brand;fire;vuur;56;brandweer;31;warm;28;267;1;29;77
brandkraan;fire hydrant;water;46;rood;30;brand;28;246;0;19;62
brandweerman;fireman;vuur;51;water;32;brand;27;270;6;27;72
brandweerwagen;firetruck;rood;50;vuur;34;sirene;24;246;2;19;64
breekijzer;crowbar;dief;21;inbreken;19;inbraak;14;267;19;33;113
brie;brie;kaas;76;frankrijk;24;wit;14;267;8;25;71
brief;letter;schrijven;29;postzegel;24;post;20;315;10;32;95
brieven;letters;post;32;schrijven;27;postzegel;20;246;1;29;87
brievenbus;mailbox;post;66;postbode;35;brief;23;285;1;25;86
bril;glasses;lenzen;17;lezen;16;ogen;15;258;1;33;102
broek;pants;jeans;37;riem;18;lang;13;267;5;38;96
bromfiets;scooter;helm;31;lawaai;18;snel;12;270;3;46;108
brommer;motorbike;helm;36;lawaai;19;fiets;16;270;2;38;100
brood;bread;bakker;30;eten;24;wit;16;270;0;33;99
broodrooster;toaster;brood;30;toast;28;verbrand;15;267;4;29;96
brownie;brownie;chocolade;40;lekker;25;bruin;17;249;38;18;78
brug;bridge;water;56;rivier;16;auto;12;267;0;35;118
bruid;bride;wit;43;bruidegom;41;feest;29;330;4;28;85
bruin;brown;kleur;23;chocolade;19;zon;17;267;5;40;94
buidel;pouch;kangoeroe;49;geld;28;dier;19;246;5;19;64
buizen;to fail;school;22;loodgieter;16;examens;13;270;10;37;118
bult;lump / bump;pijn;36;kameel;35;dromedaris;15;270;10;30;94
bureau;desk (bureau);stoel;30;computer;22;studeren;18;267;7;32;70
bus;bus;delijn;20;school;11;lijn;11;267;5;40;129
cactus;cactus;woestijn;33;stekels;24;groen;21;246;2;29;73
cafe;bar;bier;50;vrienden;15;drinken;14;246;0;31;91
cake;cake;lekker;45;appel;13;chocolade;13;267;3;37;97
calamares;calamares;inktvis;36;spanje;16;lekker;12;249;47;25;84
camion;truck;groot;24;vrachtwagen;20;gevaarlijk;13;270;6;31;124
camionette;van;wit;42;auto;39;vervoer;22;483;13;68;184
camping;camp site;tent;59;caravan;40;vakantie;26;267;3;29;94
cappucino;cappucino;koffie;58;warm;20;italie;15;264;1;30;78
caravan;trailer ;vakantie;39;camping;25;reis;14;270;2;36;105
carnaval;carnival;verkleden;39;feest;36;confetti;19;291;3;38;83
carnivoor;carnivore;vlees;56;vleeseter;21;dier;19;309;13;31;107
cassette;tape;muziek;51;oud;17;video;16;249;6;25;88
cassetterecorder;tape recorder;muziek;42;oud;14;opnemen;13;246;1;28;108
cel;cell;gevangenis;60;tralies;15;biologie;8;246;3;31;105
cello;cello;muziek;58;orkest;18;viool;17;270;7;31;82
champignons;mushrooms;paddestoel;19;bos;17;lekker;15;270;5;41;104
chauffeur;driver;auto;56;taxi;38;bus;31;270;5;27;90
china;China;geel;27;rijst;18;spleetogen;13;249;0;31;102
chinees;Chinese (person);geel;42;eten;29;rijst;19;270;2;27;91
chips;(potato) chips;zout;42;paprika;25;lekker;22;267;4;33;72
chloor;chlorine;zwembad;71;geur;16;chemie;14;246;5;23;81
choco;chocolate spread;boterham;45;bruin;35;lekker;28;270;0;28;86
chocolade;chocolate;lekker;51;bruin;29;zoet;14;270;7;29;101
cijfers;numbers;wiskunde;37;rekenen;22;letters;16;255;5;30;93
cimbalen;cymbals;muziek;41;lawaai;27;orkest;22;267;15;27;102
cinema;movie theater;film;78;popcorn;31;vrienden;11;273;4;28;84
circus;circus;clown;54;tent;29;olifant;15;246;0;20;89
citroen;lemon;zuur;68;geel;63;fruit;15;264;5;25;67
clementine;mandarine;oranje;48;mandarijn;28;fruit;21;270;6;29;73
clown;clown;circus;37;rodeneus;24;neus;21;270;0;29;104
cobra;cobra;slang;81;giftig;16;gevaar;11;270;20;24;98
cocktail;cocktail;alcohol;29;drank;22;lekker;16;267;0;39;105
cola;coke;suiker;20;zwart;14;zoet;14;270;1;41;96
computer;computer;internet;43;scherm;21;toetsenbord;13;270;4;27;108
conducteur;guard;trein;79;kaartje;17;ticket;17;267;2;27;76
confituur;marmelade;boterham;29;aardbei;22;aardbeien;19;249;4;28;71
contrabas;double bass;muziek;56;orkest;22;groot;16;270;7;31;73
courgette;zucchini;groente;46;groen;44;soep;25;270;15;22;74
cowboy;cowboy;paard;41;hoed;36;indiaan;21;261;1;34;76
croissant;croissant;ontbijt;56;bakker;39;lekker;37;432;2;36;100
daas;horsefly;pijn;28;insect;15;steken;15;270;25;41;89
dadels;dates;zoet;19;bruin;18;vijgen;14;270;27;33;101
dak;roof;huis;41;pan;19;pannen;18;255;2;33;87
dam;dam;water;65;bever;18;rivier;12;246;2;31;89
dans;dance;muziek;34;fuif;15;salsa;11;270;3;32;139
dansen;to dance;muziek;34;plezier;15;feest;13;246;0;35;115
das;tie;dier;28;kostuum;26;hemd;17;267;3;33;106
deegrol;rolling pin;taart;27;bakken;19;pizza;18;273;0;35;87
deksel;lid;pot;62;koken;16;neus;15;264;3;30;98
denneappel;cone;bos;38;boom;21;eekhoorn;16;249;4;26;91
dessert;dessert;lekker;31;ijs;24;taart;18;264;2;27;83
deur;door;klink;37;hout;19;open;17;246;2;27;70
deurknop;doorknop;deur;55;klink;30;openen;22;396;10;40;132
diamant;diamant;duur;37;antwerpen;26;ring;23;249;3;36;82
dieet;diet;eten;28;dik;27;mager;17;270;1;34;111
dief;thief;stelen;35;geld;15;zwart;13;270;11;35;106
dier;animal;hond;47;kat;36;paard;13;270;5;38;99
dierenarts;veternarian;hond;45;kat;24;dieren;15;264;2;35;102
digitaal;digital;tv;31;computer;30;fototoestel;23;276;2;34;97
dijk;dyke;zee;56;water;29;strand;19;246;1;24;88
dik;fat;vet;46;dun;28;eten;16;267;3;30;106
dinosaurus;dinosaur;groot;47;uitgestorven;15;groen;13;270;7;31;97
directeur;manager;school;51;streng;20;baas;18;270;6;31;97
divan;couch;zetel;44;slapen;16;liggen;15;255;15;32;87
doedelzak;bagpipe;schotland;47;muziek;39;schot;19;267;1;27;82
dokter;doctor;ziek;27;pijn;16;wit;14;267;1;36;114
dolfijn;dolphin;water;35;zee;26;flipper;21;270;5;28;80
dolk;dagger;mes;32;bloed;21;scherp;17;282;4;38;109
dom;stupid;slim;29;stom;21;idioot;8;270;21;30;134
donder;thunder;bliksem;69;onweer;26;regen;23;246;2;24;67
donker;dark;nacht;45;zwart;30;licht;26;270;11;22;100
donut;donut;rond;24;eten;19;lekker;18;246;1;27;76
dood;death / dead;kist;22;begrafenis;20;zwart;18;270;5;28;107
doorzichtig;transparant;glas;49;raam;20;transparant;19;246;7;29;78
doos;box;karton;38;opbergen;16;schoenen;12;255;7;33;98
doping;drugs;wielrennen;41;sport;27;epo;21;270;3;33;106
dorst;thurst;water;62;drinken;47;glas;13;267;2;28;62
douche;shower;water;40;wassen;21;proper;12;246;0;30;83
draad;thread;naald;29;naaien;25;garen;13;246;6;36;110
draaimolen;merry-go-round;kermis;54;kinderen;25;paard;15;246;1;27;85
draak;dragon;vuur;58;sprookje;18;groen;17;261;2;31;101
drank;drink;dorst;28;cola;25;alcohol;25;270;6;28;80
driehoek;triangle;wiskunde;47;triangel;15;pythagoras;14;270;4;36;105
drinken;to drink;water;38;dorst;33;bier;33;267;3;19;73
dromedaris;dromedary;woestijn;48;kameel;43;bult;35;270;9;27;79
droog;dry;nat;32;woestijn;24;zon;14;249;5;32;86
druif;grape;wijn;34;fruit;24;blauw;17;264;1;24;79
druiven;grapes;wijn;60;fruit;32;tros;24;315;5;28;83
druk;busy, pressure;stress;40;werk;23;school;12;276;1;43;118
drumstel;drum set;muziek;48;lawaai;27;stok;13;270;4;32;94
duif;dove;vogel;24;vliegen;20;vrede;16;270;2;40;113
duikboot;submarine;water;45;zee;27;oorlog;24;267;2;31;100
duim;thumb;hand;41;vinger;38;nagel;17;249;0;26;79
duivel;devil;hel;38;rood;36;vuur;17;258;1;26;86
duizendpoot;centipede;insect;32;vies;18;klein;14;270;8;40;111
duur;expensive;geld;40;tijd;20;goedkoop;11;249;3;33;104
dwarsfluit;flute;muziek;61;orkest;12;blazen;11;270;5;32;118
eclair;eclair;chocolade;36;bakker;27;lekker;25;273;18;26;83
economie;economy;geld;54;beurs;10;school;9;252;3;35;132
eekhoorn;squirrel;bos;34;boom;25;bruin;24;267;7;28;81
eend;duck;water;43;vijver;19;geel;12;267;2;39;96
eenhoorn;unicorn;sprookje;22;paard;21;wit;18;246;8;27;117
eenwieler;unicycle;circus;50;fiets;29;clown;21;246;7;22;78
egel;hedgehog;stekels;49;dier;13;bruin;12;267;4;29;90
egypte;Egypt;pyramide;51;farao;33;woestijn;22;270;0;21;64
ei;egg;kip;66;omelet;20;geel;16;270;2;29;71
eikel;acorn;boom;44;penis;24;eekhoorn;21;252;1;18;78
eiland;island;palmboom;39;zee;35;strand;14;270;3;25;87
eiwit;eggwhite;ei;28;eigeel;27;kip;19;246;2;35;94
ekster;magpie;vogel;57;zwart;29;zwartwit;12;267;7;36;87
eland;moose/elk;gewei;28;dier;22;hert;17;246;2;30;94
elastiek;elastic band;haar;20;rekker;15;rubber;14;246;6;31;116
emmer;bucket;water;78;kuisen;18;poetsen;16;258;2;29;86
engel;angel;hemel;47;wit;27;vleugels;24;249;1;26;83
engelsesleutel;adjustabnle spanner;werken;12;gereedschap;11;cluedo;7;264;40;40;111
enveloppe;envelope;brief;64;postzegel;36;post;18;246;2;20;66
erwten;peas;groen;48;wortelen;24;klein;19;267;1;24;79
eskimo;Eskimo;iglo;50;koud;41;ijs;19;252;0;25;75
eten;to eat / food;lekker;36;honger;22;drinken;14;270;2;38;119
exotisch;exotic;strand;21;eiland;20;fruit;19;267;2;29;87
ezel;donkey;dom;28;grijs;26;paard;16;264;5;32;99
fabriek;factory;werk;19;rook;19;werken;16;249;0;29;92
fagot;bassoon;muziek;44;instrument;37;orkest;12;270;31;31;88
fakkel;torch;vuur;69;licht;29;toorts;17;285;2;31;88
fanfare;brass band;trompet;40;muziek;31;trommel;15;270;0;31;106
fazant;pheasant;vogel;38;jacht;17;wild;15;270;7;29;104
feest;party;muziek;25;vrienden;22;drank;16;267;3;35;101
feta;feta;kaas;56;griekenland;26;grieks;24;267;26;27;72
fier;proud;trots;52;pauw;34;blij;13;246;7;20;96
fiets;bicycle;wiel;22;bel;19;rijden;9;270;4;48;128
film;movie;cinema;39;bioscoop;16;tv;12;270;0;36;117
fitness;gym;sport;29;spieren;16;zweet;15;249;2;33;112
fles;bottle;glas;81;wijn;69;drank;61;591;3;39;125
fluit;recorder;muziek;53;blokfluit;16;noten;13;270;3;37;108
fluiten;to whistle;muziek;27;vrolijk;20;lippen;15;246;1;36;109
fontein;fountain;water;72;fris;11;rome;8;246;3;25;93
forel;trout;vis;69;water;29;eten;20;270;7;25;80
fornuis;stove;koken;57;eten;35;warm;20;270;1;24;73
fototoestel;camera;digitaal;28;vakantie;25;foto;23;255;4;28;109
framboos;raspberry;rood;39;fruit;25;lekker;23;270;3;25;71
frangipane;frangipane;lekker;31;bakker;19;zoet;15;246;3;27;96
frankrijk;France;wijn;40;vakantie;24;parijs;21;270;3;25;90
frieten;french fries;mayonaise;48;lekker;27;vet;24;270;3;25;81
frigo;fridge;koud;57;eten;44;wit;18;270;2;23;88
fruit;fruits;appel;49;banaan;28;gezond;27;267;5;26;66
fruitvlieg;fruit fly;fruit;19;klein;18;vies;13;267;26;30;113
gaatjes;(small) holes;kaas;34;tanden;33;tandarts;22;270;8;29;92
galabal;grand ball;kleed;24;jurk;18;kostuum;16;267;0;35;104
garage;garage;auto;81;poort;19;fiets;17;270;9;25;93
garnaal;shrimp;zee;38;lekker;16;tomaat;15;255;0;32;100
gat;hole;zwart;18;kont;11;achterwerk;10;246;1;33;101
gebak;pastry;lekker;42;taart;32;cake;29;273;2;28;73
gebit;teeth;tanden;50;tandarts;39;poetsen;16;252;0;27;71
geel;yellow;zon;53;kanarie;16;kleur;16;270;8;26;89
geest;spirit;spook;53;dood;15;wit;12;306;6;38;139
gehandicapt;handicapped;rolstoel;78;mentaal;17;erg;9;264;2;28;112
geit;goat;melk;45;kaas;29;dier;23;312;0;26;103
gekko;gecko;dier;21;salamander;11;hagedis;9;288;70;32;108
geld;money;rijk;24;euro;19;kopen;10;270;3;38;122
geluid;sound;muziek;51;lawaai;26;oor;10;270;11;37;113
gember;ginger;kruid;28;eten;12;koken;11;246;21;34;101
geranium;geranium;bloem;45;rood;28;zomer;14;246;5;26;90
gereedschap;tool;hamer;67;schroevendraaier;19;werken;17;270;9;29;79
geschiedenis;history;school;18;saai;17;verleden;13;270;2;35;125
gesp;buckle;riem;71;broek;43;schoen;19;270;7;26;77
geur;smell;parfum;54;stank;25;neus;22;267;3;23;89
gevaar;danger;angst;14;verkeer;12;auto;10;246;3;41;119
gevaarlijk;dangerous;verkeer;14;angst;10;dood;10;267;20;40;135
gevangenis;prison;cel;33;tralies;30;straf;15;321;5;39;144
gevecht;fight;bloed;25;pijn;17;ruzie;13;246;1;39;124
geweer;rifle;oorlog;25;geweld;24;dood;21;276;0;31;88
gewei;antler;hert;65;bos;13;dier;13;246;14;27;87
geweld;violence;oorlog;26;pijn;19;vechten;17;246;0;31;106
gewicht;weight;weegschaal;45;dik;23;zwaar;22;270;6;30;84
gezoem;buzzing;bij;60;mug;32;vlieg;20;246;3;24;80
gezond;healthy;sport;24;fruit;23;eten;17;249;5;30;99
gier;vulture;vogel;44;dood;25;aas;11;267;10;36;107
gieter;watering can;water;84;bloemen;41;planten;27;315;5;23;72
gif;poison;slang;43;dood;40;gevaarlijk;12;270;8;30;108
giftig;poisoneous;slang;48;dood;26;paddestoel;11;267;4;33;109
gips;plaster;wit;24;pijn;23;arm;17;246;3;28;78
giraf;giraffe;nek;31;zoo;30;geel;24;267;2;24;57
gitaar;guitar;muziek;61;snaar;30;snaren;22;270;0;29;99
glad;smooth;ijs;67;vallen;12;winter;10;249;5;32;93
glas;glass;drinken;34;water;27;raam;15;270;8;29;94
glibberig;slippery;slijm;25;glad;21;slang;16;267;10;31;88
glijbaan;slide;speeltuin;23;kinderen;20;water;16;246;3;32;88
glijden;to slide;ijs;31;glijbaan;29;sneeuw;25;267;3;28;81
goal;goal;voetbal;76;bal;21;keeper;21;270;4;31;75
gocart;go-cart;zee;25;snel;16;racen;16;270;7;38;112
golf;golf;zee;37;water;17;sport;14;267;5;35;104
golven;waves;zee;75;water;26;surfen;22;270;7;27;85
gom;eraser;potlood;67;papier;17;wit;14;246;4;25;71
gordel;belt / girdle;auto;78;veiligheid;22;veilig;14;270;6;24;84
gordijn;curtain;raam;23;donker;22;stof;17;252;5;38;115
gorilla;gorilla;aap;60;groot;22;zoo;15;249;2;25;78
goud;gold;zilver;23;geel;20;rijk;18;246;1;27;86
goudvis;goldfish;bokaal;47;water;45;oranje;38;270;3;24;73
graan;corn;brood;52;veld;23;tarwe;13;246;4;27;81
graanproduct;cereal product;brood;64;tarwe;28;cornflakes;14;306;0;35;90
graf;grave;dood;63;kerkhof;36;zerk;20;255;2;23;78
granaat;grenade;oorlog;56;appel;23;ontploffing;14;276;0;35;97
gras;grass;groen;80;zomer;21;tuin;18;270;6;33;89
grasmachine;lawn mower;gras;40;lawaai;29;groen;21;270;1;25;99
grenadine;grenadine;rood;57;water;25;zoet;25;270;4;34;96
griekenland;Greece;zon;33;vakantie;16;athene;16;267;7;33;111
grieks;Greek;latijn;25;eten;15;taal;15;270;4;35;108
grijs;gray;oud;30;muis;22;zwart;20;270;4;28;94
groen;green;gras;63;kleur;19;natuur;15;267;5;30;100
groente;vegetable;sla;39;gezond;32;tomaat;24;312;4;28;74
grond;soil;aarde;52;bruin;17;zand;16;270;5;33;109
groot;big;klein;40;reus;37;lang;13;267;9;35;112
gsm;mobile;sms;50;bellen;44;telefoon;19;276;0;27;74
haai;shark;zee;41;tanden;37;gevaarlijk;21;270;2;28;82
haak;hook;kapitein;24;vis;23;vissen;16;270;8;37;119
haan;rooster;kip;61;kraaien;21;ei;17;270;3;27;96
haar;hair;lang;23;kapper;20;blond;18;270;5;33;101
hagedis;lizard;groen;26;staart;16;reptiel;15;270;5;35;118
hak;cut;schoen;55;bijl;21;hoog;14;270;6;31;107
hakken;(high) heels;schoenen;23;dansen;14;bijl;14;246;0;37;120
halloween;Halloween;pompoen;57;snoep;18;oranje;18;270;1;34;88
hals;neck;nek;48;ketting;36;hoofd;13;258;7;26;90
hamburger;hamburger;vet;22;vlees;15;ketchup;13;249;0;34;96
hamer;hammer;nagel;45;spijker;19;kloppen;18;267;7;34;85
hamster;hamster;klein;29;kooi;28;dier;16;267;1;37;98
hand;hand;vingers;27;vinger;21;ring;13;246;4;33;101
handbal;handball;sport;48;bal;25;goal;11;270;4;34;108
handboeien;handcuffs;politie;52;gevangenis;30;gevangene;14;270;1;29;94
handdoek;towel;afdrogen;50;zacht;47;douche;44;588;2;47;107
handschoen;glove;winter;35;koud;17;warm;15;246;3;29;92
handschoenen;gloves;winter;39;koud;35;warm;29;270;5;29;85
handtas;purse, handbag;vrouw;25;geld;17;rommel;14;246;3;34;105
hangmat;hammock;lui;19;zon;18;zomer;17;246;2;26;83
hard;hard;steen;41;zacht;36;pijn;15;270;14;29;111
hardlopen;running;sport;26;atletiek;18;vermoeiend;13;264;4;41;114
harig;hairy;hond;18;aap;16;dier;14;246;8;34;99
haring;herring;vis;63;zee;23;eten;10;270;7;32;100
hark;rake;tuin;60;bladeren;30;herfst;14;246;0;25;75
harp;harp;muziek;54;snaren;27;instrument;13;270;8;29;96
harpoen;harpoon;walvis;29;vis;27;zee;18;246;3;34;82
hart;heart;liefde;32;rood;27;bloed;26;252;2;33;95
hazelnoot;hazelnut;choco;39;eekhoorn;35;boom;27;270;12;27;72
hazelworm;blindworm;hazelnoot;13;noot;10;slang;10;267;58;31;99
hek;fence;tuin;33;afsluiting;16;hout;14;246;2;36;103
heks;witch;bezem;36;neus;12;sprookje;12;258;2;40;107
